symbol,year,growth_rate
GILD,2020,0.012533819997056807
EMR,2022,0.012280409887079131
CSX,2016,0.011434533975669046
IR,2022,0.012107962343734546
AAP,2014,0.009655437771139495
DFS,2016,0.00919989139697721
WM,2013,0.006838566565378122
LW,2021,0.012274428382701746
ETSY,2021,0.024162977937078695
NRG,2018,0.012061081511934869
CHRW,2018,0.014551200591367663
JBHT,2013,0.009086751356995404
CDNS,2016,0.009605419448168244
CHRW,2015,0.009207213800313111
MS,2020,0.015489549347260097
AXP,2020,0.015392543616115691
KMB,2018,0.009201943436796964
ZBH,2017,0.007543303525264525
HBAN,2013,0.009367156804058335
MTD,2016,0.009760189402716545
PSX,2014,0.010919548318404729
REG,2013,0.007799207164574806
CVX,2016,0.009221811924223975
BEN,2014,0.007942640259930373
ABT,2016,0.009000141233649284
GWW,2016,0.009842431073680947
EA,2015,0.012790629457363905
HST,2014,0.00793644932967557
VNO,2013,0.008213722936372276
AIZ,2016,0.009180947402525478
ITW,2016,0.007277127282862699
TXN,2015,0.00943240765292572
HCA,2013,0.012036463457722923
CAG,2017,0.007067972567058038
DHR,2021,0.009942822508644998
HIG,2015,0.008686195675071211
MOS,2022,0.03213759737425911
LUMN,2019,0.015617072595943197
MCK,2021,0.010521689740963099
PM,2013,0.0069854748768985835
VNO,2016,0.00912133558752694
HOLX,2015,0.010351232313109344
DLR,2013,0.010281376704269119
PNR,2018,0.008669767441860512
XRAY,2021,0.010541608476608788
AEP,2019,0.006519053730915562
QCOM,2014,0.0068247603987731205
TJX,2016,0.007785479271885502
MA,2015,0.008040192913997865
EXPD,2020,0.012663015725795562
MSFT,2019,0.006842958145309695
NWSA,2016,0.012943808252240434
MNST,2013,0.01404001757396357
DIS,2017,0.005866289976151932
D,2015,0.007618234465987183
CHTR,2016,0.012765097526718946
EFX,2020,0.014496563351517174
AIZ,2015,0.008755227319526313
FMC,2013,0.008562560930048905
STZ,2015,0.008275677922184883
NDAQ,2015,0.009381936127820406
CAT,2018,0.009857223401044996
FBHS,2014,0.011139165393205266
SCHW,2015,0.010672136147448861
HES,2021,0.017256212435959612
DHI,2015,0.012329932732296442
DISCA,2016,0.013587777984965639
COP,2020,0.018729545080639103
CVX,2017,0.006031933872689504
F,2013,0.00845691499267841
FE,2020,0.015157129884716002
MMC,2019,0.006626144292908603
BXP,2014,0.0070862975709654165
GIS,2022,0.009919765640760164
MOS,2015,0.009450157524131865
MAA,2017,0.006686482100021846
LKQ,2017,0.007967195728278746
EFX,2015,0.00749671405706453
GPC,2021,0.009572750175344556
AEE,2016,0.008509965831897335
VRSN,2013,0.008623050155663968
PVH,2013,0.009611265516812378
MTB,2017,0.007955242970873785
CMA,2022,0.01780850717529672
AVGO,2015,0.014358687502984503
K,2021,0.008277472048906373
KIM,2017,0.010659842761370095
C,2016,0.011244184936259725
NOC,2017,0.00575797375493682
DVA,2018,0.010226768695929967
DLR,2017,0.008303184934808137
MU,2013,0.017477464665229214
IT,2015,0.00823480561350107
MDLZ,2021,0.007306845118395344
MMM,2014,0.005976988225492526
AJG,2020,0.012848439734961834
GS,2022,0.012731728961861696
JKHY,2019,0.0070754246616499825
PM,2016,0.006656800028749544
AMCR,2022,0.011295395166350863
CCI,2017,0.007764504060018428
MDLZ,2022,0.008625720465408097
ANET,2019,0.0125725769057688
COST,2016,0.007338839710722264
RF,2015,0.010617041478345895
TMO,2014,0.00792465802350106
PEP,2017,0.0049038705816585
DISH,2013,0.011270511179166116
BLK,2022,0.010667329389674237
WMB,2017,0.009088949332147234
DG,2021,0.009325097536590133
SNPS,2016,0.008307821450476927
FTV,2021,0.008565034557262876
IQV,2020,0.013798936074086048
DHI,2014,0.012719844400716078
GILD,2013,0.010875953722830376
GD,2014,0.00820060427200488
TAP,2016,0.008894181091467234
FTV,2018,0.009909018372485786
MRO,2018,0.01662280794533884
MLM,2015,0.013568873286616821
UHS,2014,0.010762391704058039
CSCO,2013,0.008687089791009975
CMS,2021,0.008548295689718205
CL,2020,0.010770382456103723
BF.B,2017,0.008305628402088793
ATVI,2015,0.012496150137443452
ATVI,2022,0.007795303067622889
KEY,2018,0.013091632303033136
NRG,2015,0.015976397670469353
EOG,2014,0.01122737836463004
PPG,2018,0.010235287961197544
